message,criticality
NAV TACAN OUT OF SERVICE,1.0
"PROCEDURE SRA RWY05 SUSPENDED
REF FLIP CENTRAL AND NORTHRN ITALY AD LIPA 1-14",1.0
"AIRMEN ARE ADZ OBSTRUCTION LIGHTING ATOP WATER TOWER AT
44.31M/145FT AMSL LOCATED AT COOR 244219.326N 0774624.059W U/S",0.0
ALTN TWR FREQ 124.35 MHZ COMMISSIONED.,2.0
"ERROR IN MINIMATABLE FOR RNAV (RNP) U RWY 30. REF AIRAC AIP FAEROE
ISLANDS AMDT 03/18 EFF 26 APR 18, ON PAGE AD 2 EKVG - RNAV (RNP) U
RWY 30-1, CORRECT RNP SPECIFICATION IN MINIMATABLE TO READ RNP 0.2
INSTEAD OF RNP 0.1",2.0
"GRASS TWY E3 REPOSITIONED 121M WEST OF RWY HOLDING POSITION 
HOLD 3 DUE WIP. MARKED BY YELLOW MARKER BOARDS",1.0
"REFER EAIP INDIA CHART AD2-VECC-ILS(Y)(II)19L
REGARDING ILS(Y) CAT-II PROCEDURE RWY 19L - KOLKATA AIRPORT.
DUE TO WITHDRAWAL OF OUTER MARKER, THE TEXT 'LOM' IS AMENDED AS 'LO'.
AMEND PLAN AND PROFILE VIEW OF THE CHART ACCORDINGLY.",2.0
"REFER EAIP INDIA SECTION ENR 3.1, FOLLOWING AMENDMENTS ARE MADE
IN ATS ROUTES W41, W49, W50, W90, G472, L759 AND N895? 
1)THE COORDINATES OF BHUBANESWAR VOR (BBS) ARE CORRECTED AS
201437.2N 0854847.7E.
2)SEGMENT OF ATS ROUTE W41 MEPOL - TR 062/242 DEG(M) 73 NM -
BHUBANESWAR VOR DVOR/DME (BBS) IS REPLACED BY MEPOL - TR 062/243
DEG(M) 73 NM - BHUBANESWAR VOR DVOR/DME (BBS).
3)SEGMENT OF ATS ROUTE W90 BHUBANESWAR VOR DVOR/DME (BBS) - TR
206/026 DEG(M) 75 NM - ISMON IS REPLACED BY BHUBANESWAR VOR DVOR/DME
(BBS) - TR 206/025 DEG(M) 74 NM - ISMON.
4)SEGMENT OF ATS ROUTE G472 OPASA - TR 098/279 DEG(M) 162 NM -
BHUBANESWAR VOR DVOR/DME (BBS) IS REPLACED BY OPASA - TR 097/278
DEG(M) 162 NM - BHUBANESWAR VOR DVOR/DME (BBS).
5)SEGMENT OF ATS ROUTE N895 BHUBANESWAR VOR DVOR/DME (BBS) -
TR 279/098 DEG(M) 162 NM - OPASA IS REPLACED BY BHUBANESWAR
VOR DVOR/DME (BBS) - TR 278/097 DEG(M) 162 NM - OPASA.
AMEND EAIP INDIA SECTION ENR 3.1 ACCORDINGLY.",2.0
"CYOW AMEND RNAV(GNSS) Z RWY 32 APCH:
LNAV MINIMA TO READ:      760(393) 1 RVR 50
LNAV/VNAV MINIMA TO READ: 654(287) 1 RVR 50",1.0
APRON TERMINAL APN WIP CONST ADJ NE EDGE LGTD AND BARRICADED,1.0
TWY T CLSD BTN TWY A AND TWY C. TWY B CLSD.,0.0
"APRONS TAXIWAYS AND CHECK LOCATIONS.
LINE 1 COLUMN 3  AST PRESIDENTIEL. 
STRENGTH READ: B747 INSTEAD OF: B737
ASECNA AIP MODIFY PAGE 8 AD2-1-03",0.0
"REF NOTAM A0342/18
FLW SID ARE SUSPENDED
-SID CBN 3A RWY01   REF AIP TUNISIE AD2 DTTA-32
-SID BELED 2A RWY01 REF AIP TUNISIE AD2 DTTA-32
-SID TISRI 2A RWY01 REF AIP TUNISIE AD2 DTTA-32
-SID KEMIR 2A RWY01 REF AIP TUNISIE AD2 DTTA-32
-SID CBN 2D RWY29   REF AIP TUNISIE AD2 DTTA-38",1.0
AMBERLEY WEST AIRSPACE R639ABCD ACT (RA2),1.0
"UNMANNED AIRCRAFT WILL TAKE PLACE BOUNDED BY THE FOLLOWING 
COORDINATES:
472613N0190504E
472614N0190528E
472408N0190643E
472331N0190653E
472208N0190541E
472215N0190520E
472338N0190606E.
FURTHER INFO ABOUT THE ACTUAL OPR HR VIA TEL: +36 20 500 1197.",0.0
"WIND POWER STATION ERECTED AT TOWN HEEK 520949N 0070510E.
ELEV 812FT/657FT AGL. DAY AND NIGHT MARKED.",0.0
"OVERFLYING FORBIDDEN TO VFR FLT UNDER PROVISION OF ARTICLE 793
AIR NAVIGATION ACT WI AREA 1000M RADIUS OF 434620N0111521E
/FIRENZE TOWN/",2.0
"BERLIN HUMBOLDT-KRHS.
MOBILE CRANE 100M NW OF ARP PSN 523527N 0131823E. 
ELEV 191FT / 66FT AGL. DAY AND NIGHT MARKED.",0.0
PAR APPROACHES NOT AVAILABLE.,0.0
EBR04-ELSENBORN 01 ACT,0.0
"CONCRETE PILING PUMP WILL BE ERECTED HEIGHT 35M, POSITIONED AT 
APRX DIST 395M, MAG BRG 084 DEG FROM RWY 30R THR.",1.0
"TRAINING FLIGHTS PERFORMING SUCCESSIVE TOUCH-AND-GOES IN THE
TRAFFIC CIRCUIT ARE ONLY ALLOWED :
MON TO SAT 0600-0730, 0930-1430, 1630-1900.
SUN AND HOL 0600-0730, 0930-1000, 1200-1430, 1630-1900.
REF AIP BELGIUM-LUXEMBOURG AD 2.20-5.7 TRAINING AND TEST FLIGHTS.",0.0
"RESTRICTED AIRSPACE - TEMPORARY
ISLE OF MAN (IOM) AIR NAVIGATION RESTRICTION OF FLYING TOURIST 
TROPHY (TT) RACES REGULATIONS 2018 IN FORCE. NO AIRCRAFT, OTHER THAN 
THOSE FLYING IN ACCORDANCE WITH THE CONDITIONS IMPOSED BY IOM 
STATUTORY DOCUMENT NO 2018/0110, SHALL FLY BELOW 3000 FT AMSL WITHIN 
THAT AIRSPACE WHICH LIES OVER THE AREA CONTAINED LATERALLY WITHIN 
THE ISLE OF MAN MOUNTAIN CIRCUIT TT COURSE AND WITHIN 1000 METRES OF 
ANY PART OF THE CIRCUIT. FURTHER INFORMATION MAY BE OBTAINED FROM 
ATC ISLE OF MAN ON 01624 827548. AIC M020/2018 REFERS.",1.0
"RWY DIMENSION CHANGED TO 1965M X 45M.

REF AIP PAGE RPUT AD 2-4 SECTION RPUT AD 2.12.",4.0
"REF MILAIP GEN 3.5-12 COLUMN 5 HOURS OF OPERATION (UTC) CHANGE TO
READ FM 05:30 TO 18:00 INSTEAD H24",0.0
AIRSPACE UNMANNED ROCKET WI AN AREA DEFINED AS 1NM RADIUS OF SLK052003.1 SFC-5000FT AGL,2.0
"NIL JET A1 FUEL AVBL AT PRKG STANDS D1 TO D2R AND G1 TO G7.)

CNN001I ADMIN MESSAGE


CNS123W SEQUENCE CHECK FOR FAJNYNYX A -- 
  EXPECTED A1838/18 -- RECEIVED A1417/18
CNN038W DUPLICATE NOTAM
TRANSACTION ROLLED BACK, RETCODE = 14",0.0
"FARNBOROUGH AIR TRAFFIC SERVICES COMMUNICATION FACILITIES.
RAD COLUMN 5, DIVIDE INTO 3 SECTIONS AS IN COLUMNS 1 2 AND 3
IN ROW 2 FARNBOROUGH RADAR COLUMN 5 ADD NOTE RADAR SERVICES 
UNAVAILABLE BELOW 1500FT AMSL.
EGLF AD 2.18 REFERS",0.0
"AIRAC AIP SUP S021/18, PAGE 70 DATED 24 MAY 2018 FLW FALW CHARTS
SUSPENDED.
1.FALW RNAV-01 RWY 02R CHART.",0.0
"AIRSPACE CLASS D SFC AREA HR CHANGED TO ACT DLY
1100-0700",2.0
AD AP SFC CONDITIONS NOT REPORTED,2.0
"REF AIP SUP 09/17 DATED 23 JUN 2017,
WIE UNTIL 27 MAR 2019, 0900UTC,
HENGCHUN AIRPORT IS USED FOR INTERNATIONAL BUSINESS CHARTER AND 
CHARTER FLIGHTS ON A TRIAL BASIS.",0.0
BIRDS CONCENTRATION IN THE MVT AREA.,0.0
"CTN TAX OPS ON TWY J BTN TWY K AND L TIL ACFT WITH WT MAX
30000KG DUE CRACKING ASPH LYR",0.0
ACFT STAND D9 LTD TO 35.8M WINGSPAN.,1.0
"MOBILE CRANE 0.3KM 344DEG GEO ARP LSZB, MARKED, LGTD,
465453N0072954E, 22.0M / 72.2FT AGL, 531.0M / 1742.2FT AMSL.",0.0
"CHECKLIST
YEAR=2018 0023 0030
LATEST PUBLICATIONS AT 0037 ON 01 MAY 18 
AIP SUPPLEMENT ........ 001 07 NOV 16
AIP AMENDMENT ......... 
AIRAC VFR AMENDMENT ... 
AIRAC AIP AMENDMENT ...  EFFECTIVE 
AIC INTERNATIONAL ..... 
AIC NATIONAL ..........",0.0
RWY 16R/34L CLSD DUE MAINT.,3.0
"EXER EXTREME CTN DRG LDG/TKOF RWY06/24 AND RWY13/31
DUE PRESENCE OF OBST.

OBST (TWR CRANE)              COORD           EQPT ELEV(M AMSL)
      TC-1               14 30 49.70824N          69.89M
                        120 59 40.83174E
      TC-2               14 30 48.33046N          84.89M
                        120 59 42.47392E",1.0
"MOSJOEEN TACAN MOS CH86X ON TEST, DO NOT USE",2.0
"ULM BUNDESWEHRKRHS.
2 CRANES ERECTED AT PSN 482532N 0095553E. 
COLOUR:YELLOW. ELEV 2051FT/165FT AGL. NIGHT MARKED.",0.0
"IAP HELENA RGNL, Helena, MT.
RNAV (RNP) Z RWY 9, ORIG-B...
RNP 0.11 ASTERISK DA 4264/HAT 400, VISIBILITY 1 1/4 ALL CATS, RNP
0.17 DA 4289/ HAT 425, VISIBILITY 1 3/8 ALL CATS, RNP 0.30 DA
4487/HAT 623, VISIBILITY 2 1/2 ALL CATS.",3.0
"SID SEATTLE-TACOMA INTL, Seattle, WA.
SUMMA ONE DEPARTURE...
TAKE-OFF MINIMUMS: RWY 16L: 300 - 1 OR STANDARD WITH MINIMUM CLIMB
OF 425 FT PER NM TO 600.
TAKE-OFF MINIMUMS: RWY 16R: 300 - 1 1/4 OR STANDARD WITH MINIMUM
CLIMB OF 215 FT PER NM TO 600.
ALL OTHER DATA REMAINS AS PUBLISHED.",2.0
APRON AIRSIDE 1 RAMP BTN TWY J1 AND TWY C1 WIP CONST ADJ N SIDE,0.0
TWY N CLSD,0.0
"CAUTION: MEN & EQUIPMENT WORKING ON TWY FOXTROT, TWY DELTA, &
 DELTA LOOP. TAXIWAY EDGE LIGHTS IN THOSE AREAS WILL BE UNAVALABLE
 DAILY FROM 2130Z-0630Z. LIGHTS CAN BE TURNED ON DURING IFR
 CONDITIONS",2.0
"IN UPPER 1 EN ROUTE AIR NAVIGATION CHART AMDT AIRAC 2/2016 OCTOBER
13 2016 AWY UN 525 BTN GESPA-NAXET REPONTING POINTS ADD DIST 88",0.0
"TWY CORRECT INFO TO:
1- TWY ALFA WIDTH 30M
2- TWY BRAVO WIDTH 23,50M
3- TWY DELTA WIDTH 10M
4- TWY ECHO WIDTH 18,50M
5- TWY FOXTROT WIDTH 18,50M
REF: AIP BRASIL AD 2.8",2.0
OBSTACLE LIGHT ON THE RADAR DOME IS U/S.,0.0
"4 WIND POWER STATIONS ERECTED POSITION SW OF VILLAGE OF
SCHOEPPINGEN. 520433N 0070821E. ELEV 735FT/493FT AGL. DAY AND NIGHT
MARKED.",0.0
"REFER AIP SUPPLEMENT 55/2014 REGARDING ILS(X) PROCEDURE
RWY 02 - GUWAHATI AIRPORT. THE TEXT ?LOM? IS AMENDED AS ?LO?
DUE TO WITHDRAWAL OF OUTER MARKER.
AMEND THE AIP SUPPLEMENT ACCORDINGLY.",2.0
"NEW DATA OF TWY AS FLWS:
TWY N2 
WIDTH    : 23M
SURFACE  : CONCRETE 
STRENGTH : PCN 85/R/B/W/T
TWY N7
WIDTH    : 23M
SURFACE  : CONCRETE
STRENGHT : PCN 85/R/B/W/T
TWY NC4
WIDTH    : 23M
SURFACE  : CONCRETE
STRENGHT : PCN 96/R/D/W/T
REF AIP VOL II AMDT NR. 67/17 DATED 15 DEC 17 SUBSECTION WIII AD 2.8",0.0
"GENEVE TMA, AIRAC AIP AMDT 04/18 PART ENR 2.1 :
CORRECTION GENEVE TMA : 
SEE SIA WEBSITE HTTPS://WWW.SIA.AVIATION-CIVILE.GOUV.FR,
ITEM WELCOME PAGE/EAIP FRANCE/WARNING/CORRECTION
FRANCE AIP ENR 2.1 WEF 29 MAR 2018.",0.0
"STNR ALT RESERVATION BOE570A WI AN AREA DEFINED AS 
454459N1253005W TO 460850N1241941W TO 445402N1242004W TO 
445035N1242121W TO 443759N1242804W TO 441059N1253005W TO 
POINT OF ORIGIN.",0.0
"DUE TO MIL STNR ALT RESERVATION VX23D WI THE NEW YORK 
OCEANIC CTA/FIR, NEW YORK OCEANIC WILL NOT ACCEPT IFR FLT WI AN 
AREA DEFINED AS 3327N07506W TO 3312N07453W TO 3245N07539W TO 
3257N07548W TO POINT OF ORIGIN.

AND WI AN AREA DEFINED AS 3233N07353W TO 3219N07340W TO 3141N07435W
TO 3155N07449W TO POINT OF ORIGIN.",0.0
"MIL UNMANNED ACFT ACT WILL TAKE PLACE WI FLW AREA: 422300N0114938E
422300N0115708E 421700N0115708E 421700N0115038E 421840N0114938E
422300N0114938E / LATERAL LIMITS OF LI-R41 MONTE ROMANO/",0.0
"NC..ROUTE ZDC.
V1 WALLO, NC TO ZAGGY, NC NA.",0.0
"SID JOHN F KENNEDY INTL, New York, NY.
MERIT FIVE DEPARTURE...
PUTNAM TRANSITION: NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE
RNAV SYSTEM WITH GPS,
HFD VOR/DME OUT OF SERVICE.",3.0
NAV TACAN AZM OUT OF SERVICE,0.0
"UNMANNED ACFT WILL TAKE PLACE AT COORD:
393826.63N 0024048.82E
MAX HGT 10M AGL",0.0
AD SER IMG NR TEL 0280-4481003,0.0
RWY MOJADA,0.0
"ACFT COMM Y NO REGULARES DEBEN COOR CON 48 HRS DE ANTELACION PARA
PERNOCTAR EN EL AD, EXC ACFT AMBULANCIA, MEDEVAC Y OPERACIONES
AEROPOLICIALES",0.0
RESTRICTED AREA ACT: UUR217.,0.0
"DETAILS OF OBSTACLES
   SR.NR.   LCA                            HEIGHT
      1.   230456.51813N 723817.65332E    62.02M AMSL
      2.   230526.88025N 723847.73436E    65.88M AMSL
      3.   230518.56428N 723855.66465E    67.16M AMSL
      4.   230449.63564N 723824.50013E    64.68M AMSL",0.0
"OBST LGT WIND POWER STATIONS PRENZLAU/BLINDOW 532101N 0135405E
OUT OF SERVICE. AIP ENR 5.4 BRANDENBURG NR. 489 REFERS.",0.0
"FIREWORKS DISPLAY WILL TAKE PLACE WI AREA 300M RADIUS OF
452602N0122642E /PUNTA SABBIONI - E VENEZIA/ ELEV 328FT AGL",1.0
"IAP MAHLON SWEET FIELD, Eugene, OR.
VOR OR TACAN RWY 16R, AMDT 5B...
CIRCLING CAT A MDA 820/HAA 446, CAT C MDA 1000/HAA 626.",2.0
TWY B BTN TWY H AND TWY K CLSD,0.0
AD AP CLSD TO FIXED WING,3.0
"SID VALDEZ PIONEER FIELD, Valdez, AK.
NAKED SIX DEPARTURE...
DEPARTURE PROCEDURE NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE
RNAV SYSTEM WITH GPS,
JOH VOR/DME OUT OF SERVICE.",3.0
"AD HR SER ATS O/R 2HR BFR ONLY SAN, HUMANITARIAN,
COMMERCIAL FLT AND STATE FLT COOR TEL 0385-154712203
0385-155126273 0385-154190263",2.0
NDB SZ FREQ 242KHZ UNSERVICEABLE,0.0
"PORTION OF TAXILANE H1 FM JUNCTION OF TWY B1 AND TAXILANE 
   H1 TO TAXILANE LINK 5 CLSD FOR ACFT TAX",0.0
"THE NAME OF CITY BANGALORE IS CHANGED TO BENGALURU IN AIS
PUBLICATIONS. AMEND BANGALORE/BANGLORE AS BENGALURU IN EAIP INDIA
SECTIONS ENR 1.6, ENR 1.7, ENR 2.1, ENR 2.2, ENR 3.4, ENR 4.1 AND
ENR 5.1.",0.0
"HIGH CRANE ERECTED AT PSN 523029N 0132617E , CITY CENTER OF BERLIN.
MAX. ELEV 478FT / 361FT AGL. NOT MARKED.",0.0
RESTRICTED AREA ACT: UUR211.,0.0
"IAP DETROIT METROPOLITAN WAYNE COUNTY,
Detroit, MI.
RNAV (GPS) RWY 3R, AMDT 3A...
LNAV/VNAV DA 1011/HAT 378 ALL CATS, VISIBILITY RVR 3500 ALL CATS.",3.0
"IAP FLOYD BENNETT MEMORIAL,
Glens Falls, NY.
RNAV (GPS) RWY 19, AMDT 1B...
DELETE:  DESCENT ANGLE 3.44/TCH 50.  PROFILE NOTE:  VISUAL
SEGMENT-OBSTACLES.",3.0
OBST TOWER LGT (ASR 1035128) 394145.00N0794544.00W (7.8NM ENE MGW) 3089.2FT (493.1FT AGL) OUT OF SERVICE,0.0
"IAP SPARTANBURG DOWNTOWN MEMORIAL,
Spartanburg, SC.
RNAV (GPS) RWY 23, ORIG-A...
LPV DA NA.
LNAV/VNAV DA NA.
LNAV MDA NA.",3.0
ARO HR ATTN,0.0
"TRIGGER NOTAM - PERM AIRAC AIP AMDT 04/18 WEF 21 JUN 2018: ADC
REVISED",0.0
"ILS OR NDB RWY 29 (GNSS) APCH:  
ILS MINIMA TO READ: 3890 (342) 1 RVR 50",2.0
"ALL TWY CLSD EXCEPT TWY A, B AND A PORTION OF TWY F 
BTN RWY 35L AND MILITARY APRON.",0.0
"CHECKLIST
  YEAR 2013 :0113
       2014 :0015 0091 0093 0111",0.0
NAV ILS RWY 32 MUSKO LOM DECOMMISSIONED,3.0
NAV VOR/DME NOT MNT,3.0
VOR GIR 117.3 MHZ U/S,2.0
OBST CRANE (ASN 2018-ANE-1649-OE) 433916N0701635W (1.5NM ENE PWM) 390FT (322FT AGL) FLAGGED AND LGTD,0.0
"GRASS CUTTING ON THE MVT AREA
PRESENCE PERSONS AND EQPT WILL BE VACATED 15MIN BEFORE EACH MVT
CAUTION RECOMMENDED",0.0
"BERBERA AIRPORT CLOSED TO ALL OPERATIONS INCLUDING EMERGENCY 
  FLIGHTS DUE TO ONGOING WORKS",3.0
SSR RHC U/S,0.0
"CHECKLIST AS OF 1805010057
YEAR=2015 5823 7252
YEAR=2018 0950 1102 1523 1562 2347 2463 2500 2501 2502 2515 2608 2609
2702 2892 2893 2946 2951 2973 2974 2985 2996 2997 2999 3000 3001 3002
3003 3006 3007 3008 3009 3010 3011 3012 3013 3014 3015 3016 3017 3018
3019 3025 3026 3027 3039 3040 3041 3070 3072 3074 3075 3076

LATEST PUBLICATIONS
AIRAC AIP AMDT NR9/2018(EFFECTIVE DATE : 21 JUN 2018)
AIP AMDT       NR11/2018(EFFECTIVE DATE : 26 APR 2018)
AIP MINI AMDT  NR489
AIP SUP        NR74/18
AIC            NR15/18",0.0
"REF AIP SUPPLEMENT 03/2015. CONSEQUENT UPON THE 
   ESTABLISHMENT OF CDR 2 ATS ROUTE J19, WAYPOINT 
   PUNOR (203938.7N 0744657.1E) IS INTRODUCED IN 
   EXISTING ATS ROUTE Q17. ACCORDINGLY, FOLLOWING
   AMENDMENTS ARE MADE IN ATS ROUTE Q17:
   1. SEGMENT KAKPO - TR 039 DEG (M) 107NM - PEGNU 
     IS AMENDED AS KAKPO - TR 039 DEG (M) 69NM - 
     PUNOR - TR 039 DEG (M) 38NM- PEGNU. 
   2. UPPER LIMIT/LOWER LIMIT, MFA AND AIRSPACE 
     CLASSIFICATION OF SEGMENT KAKPO- PUNOR - PEGNU
     ARE AMENDED AS FL460/FL210, 5500 FEET AND CLASS D. 
  3. LATERAL LIMITS OF SEGMENT KAKPO- PUNOR - PEGNU
     IS AMENDED AS 10NM. 
  AMEND AIP SUPPLEMENT ACCORDINGLY.",0.0
"FROM 201612071600, FOR ALL AVIATION ACTIVITIES TAKING OFF FROM 
AIRPORTS OF MAINLAND CHINA FIRS, AIRCRAFT OPERATORS OR THEIR 
AGENTS SHALL ADD TWO SITA ADDRESSES (PEKFP8X, SHAFP8X) WHEN 
SUBMITTING FILED FLIGHT PLANS (FPL, CHG, DLA AND CNL) VIA SITA.",0.0
"ALL FLIGHTS TO/FM LOC AD KYVISKES ARE NOT ALLOWED DUE TO ACT OF
DRONES FLIGHTS OVER AD",3.0
"DUE TO SPECIAL EVENT ALL FLIGHTS TO/ FO LOC AD MOLETAI ARE
NOT ALLOWED EXC HEL",3.0
RWY 35L ALS OUT OF SERVICE,3.0
A/G FAC TAX FREQ 121.9 MHZ U/S,2.0
"TRIGGER NOTAM - PERM AIP AIRAC AMDT 203 WEF 21 JUN 2018.
- EXEPMTIONS, DEROGATIONS, CASES OF EQUIVALENT LEVEL OF SAFETY, 
  SPECIAL CONDITIONS, INCLUDING LIMITATIONS WITH REGARD TO THE 
  USE OF THE AERODROME UPDATED FOR CHOPIN WARSAW AIRPORT (EPWA),
- TWY, PROCEDURE IAC RNAV GNSS UPDATED.",0.0
"IAP VOR RWY 27R WITHDRAWN THE FOLLOWING INFO:

VISUAL APPROACH RWY 27L:IN CASE OF MISSED APPROACH, CLIMB TO 7000
FT,272 BCO RDL, MNM GRD 5 PERCENT . AT 3300 FT, TURN LEFT DIRECT
RAFA FOR HOLDING. MAX IAS 230KT.


REF:AIP AD 2.24


CNS123W SEQUENCE CHECK FOR SBRJYNYX K -- 
  EXPECTED K0665/16 -- RECEIVED K0664/16
CNN038W DUPLICATE NOTAM
TRANSACTION ROLLED BACK, RETCODE = 14",2.0
"OPERATIONAL HOURS OF SERVICES AD:
MON  0000-0500  1700-1930
TUE THU 0400-0500  1700-1930
WED 0400-0800  1700-1930
FRI 0400-0500  1700-2359
SAT SUN 0000-0800  1700-2359.
ARR AND DEP ACFT NON-SCHEDULED SUBJECT TO PPR
TEL/FAX: +380 3722 76477.",3.0
"BUMPY SFC ON LEFT SIDE OF CL RWY 35L:
DIST FM THR RWY 35L: 2160M
LEN: 40M,  WID:10M",0.0
"AERIAL PHOTOGRAPHY BY REMOTE CONTROL ACFT WILL TAKE PLACE AT
011734N1035117E (WI WSAP CTR)",0.0
"EISER/SCHRALL / AREA ZIRKNITZTAL-CABLEWAY FOR MATERIAL TRANSPORT
- OBST NOT MARKED.
 COORDINATES:         MAX HGT ABOVE GND:           ELEV: 
N470034 E0125639                               1776M/5827FT
                         36M/118FT
N470047 E0125620                               2060M/6759FT.",0.0
"OBST LGT U/S TOWER 454939N 804024W (APRX 16 NM S AD)
338 FT AGL 933 MSL",0.0
"ASR OUT OF SERVICE.
CONTINGENCY SERVICE OUT OF LANGEN. 
CALLSIGN BUECHEL RADAR ON FREQUENCY UHF 376.425 AND FREQ VHF 130.975.",0.0
COM REMOTE COM OUTLET 127.925/254.350 DECOMMISSIONED,0.0
RWY 19 TURN AROUND CHANGED TO 100FT WID,2.0
"AERIAL ACTIVITY WITHIN SOLENZARA AREAS LF-R65 LF-R66 AND LF-D67 
SUBMITTED TO MANDATORY PRIOR CONTACT WITH THE MANAGER
TEL : 33(0)4 95 56 85 96",0.0
"HANDLING HR OF SER CHANGED AS FLW DUE TO PUBLIC HOLIDAYS:
JUN 23 0700-0900
JUN 24 0900-1645",0.0
"SID YUVAL1 SUSPENDED.
    ISRAEL-AIP, PART AD, CHART AD 2.5-29 REF.",2.0
ACFT STAND D9 LTD TO 35.8M WINGSPAN.,2.0
"15 0500-16 2300, 17 2100-18 2300, 21 2100-23 2300,
24 2100-25 2300, 28 2100-30 2300, MAY 31 2100-JUN 01 2300
RESTRICTED AREA ACT: USR945.",2.0
RESTRICTED AREA EHR2A (MARNEWAARD A) ACTIVATED. AREA PROHIBITED.,2.0
"MOBILE CRANE RADIUS 160 FT CENTRE 434104N 793429W 
(APRX 2 NM E AD) 140 FT AGL 667 MSL LGTD NOT PAINTED",0.0
"OBST CRANE (ASN 2017-AGL-10497-NRA) 445543N0930339W
(0.35NM NW APCH END RWY 32) 830FT (120FT AGL) NOT LGTD",0.0
OBST TOWER LGT (ASR 1019032) 385945.00N0745018.00W (3.3NM ESE WWD) 354.3FT (344.5FT AGL) OUT OF SERVICE,0.0
NORTH PARKING AREA F NOT AVBL,1.0
"FOR APCH ON RWY 27L OF ACFT TYPES B744, B773 AND A346 DISREGARD 
PAPI.",3.0
"MODEL FLYING 0.5NM AROUND 521348N 0103752E SICKTE. (6NM SSE
BRAUNSCHWEIG NDB BRU)",0.0
"ADDITIONAL WIND POWER STATION ERECTED NW OF VILLAGE OF BRODERSTORF 
540600N 0121435E. ELEV 723FT/610FT AGL. DAY AND NIGHT MARKED.",0.0
